iter	Passed	Remaining
0	133	133393
1	137	68532
2	140	46794
3	144	35913
4	147	29358
5	151	25048
6	154	21899
7	157	19538
8	162	17925
9	165	16356
10	167	15058
11	170	14013
12	173	13154
13	175	12372
14	179	11778
15	184	11325
16	186	10805
17	189	10336
18	192	9940
19	195	9587
20	198	9237
21	201	8949
22	204	8672
23	208	8467
24	211	8253
25	215	8068
26	218	7886
27	223	7748
28	226	7570
29	228	7389
30	231	7239
31	233	7077
32	237	6954
33	241	6855
34	243	6721
35	246	6601
36	249	6483
37	252	6382
38	256	6313
39	259	6228
40	264	6179
41	267	6096
42	269	6006
43	272	5925
44	275	5837
45	277	5765
46	280	5695
47	283	5624
48	286	5552
49	289	5493
50	292	5443
51	296	5399
52	298	5335
53	301	5275
54	304	5239
55	307	5190
56	310	5140
57	313	5091
58	316	5047
59	318	4997
60	322	4963
61	325	4927
62	328	4889
63	332	4864
64	335	4825
65	338	4795
66	341	4760
67	345	4739
68	350	4730
69	354	4707
70	357	4677
71	361	4653
72	364	4625
73	368	4610
74	371	4583
75	375	4561
76	378	4534
77	380	4502
78	383	4471
79	386	4441
80	388	4409
81	390	4373
82	391	4329
83	394	4297
84	396	4270
85	398	4239
86	400	4206
87	403	4179
88	405	4151
89	407	4124
90	411	4108
91	415	4103
92	419	4090
93	422	4072
94	425	4051
95	427	4027
96	429	4000
97	431	3975
98	434	3950
99	436	3925
100	438	3900
101	440	3880
102	444	3868
103	447	3853
104	449	3834
105	452	3818
106	455	3799
107	458	3782
108	460	3766
109	463	3748
110	465	3730
111	468	3712
112	471	3697
113	474	3687
114	477	3673
115	480	3659
116	482	3639
117	484	3622
118	487	3609
119	490	3597
120	493	3586
121	496	3575
122	500	3566
123	503	3554
124	506	3545
125	509	3532
126	511	3514
127	514	3502
128	517	3490
129	519	3477
130	522	3467
131	525	3457
132	528	3446
133	532	3440
134	535	3429
135	538	3422
136	541	3413
137	545	3405
138	548	3396
139	552	3392
140	556	3387
141	558	3372
142	562	3371
143	565	3363
144	569	3360
145	572	3348
146	574	3336
147	577	3324
148	580	3316
149	583	3306
150	586	3295
151	589	3287
152	592	3277
153	594	3266
154	597	3256
155	599	3244
156	601	3231
157	604	3218
158	606	3208
159	608	3194
160	610	3181
161	612	3168
162	614	3157
163	617	3149
164	620	3141
165	624	3136
166	626	3125
167	629	3117
168	633	3112
169	636	3105
170	638	3096
171	641	3089
172	644	3079
173	647	3073
174	649	3063
175	652	3054
176	654	3043
177	657	3034
178	660	3027
179	662	3019
180	665	3011
181	667	3002
182	670	2992
183	672	2982
184	674	2970
185	676	2961
186	679	2955
187	682	2948
188	685	2940
189	687	2932
190	690	2926
191	695	2926
192	698	2922
193	701	2914
194	704	2910
195	707	2901
196	710	2894
197	712	2887
198	715	2878
199	717	2870
200	719	2861
201	723	2857
202	725	2848
203	727	2839
204	731	2836
205	734	2830
206	737	2825
207	740	2820
208	743	2814
209	746	2809
210	751	2809
211	754	2805
212	759	2804
213	762	2799
214	764	2792
215	767	2785
216	769	2778
217	771	2768
218	773	2759
219	775	2749
220	777	2741
221	779	2732
222	781	2723
223	783	2714
224	785	2706
225	788	2700
226	791	2693
227	793	2685
228	795	2679
229	798	2672
230	801	2669
231	804	2664
232	808	2659
233	811	2656
234	814	2650
235	817	2647
236	820	2642
237	824	2638
238	826	2631
239	828	2623
240	831	2617
241	833	2609
242	835	2604
243	839	2600
244	842	2595
245	845	2591
246	848	2587
247	852	2583
248	855	2578
249	858	2576
250	862	2574
251	865	2570
252	868	2564
253	870	2556
254	872	2549
255	875	2544
256	878	2538
257	880	2533
258	883	2527
259	885	2521
260	888	2515
261	891	2510
262	894	2505
263	896	2499
264	899	2495
265	902	2489
266	904	2484
267	907	2478
268	910	2473
269	912	2467
270	914	2460
271	917	2455
272	919	2449
273	922	2445
274	924	2438
275	927	2432
276	929	2426
277	932	2420
278	934	2414
279	936	2408
280	938	2402
281	940	2395
282	942	2388
283	944	2380
284	946	2374
285	949	2370
286	951	2364
287	954	2360
288	957	2354
289	959	2348
290	961	2342
291	964	2337
292	966	2332
293	969	2327
294	971	2320
295	973	2316
296	977	2313
297	980	2309
298	983	2305
299	985	2300
300	988	2294
301	990	2288
302	992	2283
303	996	2280
304	998	2275
305	1001	2271
306	1003	2265
307	1005	2259
308	1008	2254
309	1011	2251
310	1014	2247
311	1017	2242
312	1020	2238
313	1022	2234
314	1025	2229
315	1027	2225
316	1030	2220
317	1032	2215
318	1035	2209
319	1037	2205
320	1040	2201
321	1043	2198
322	1047	2194
323	1051	2193
324	1054	2189
325	1057	2185
326	1059	2181
327	1062	2176
328	1065	2173
329	1068	2169
330	1071	2165
331	1073	2160
332	1076	2155
333	1078	2150
334	1080	2145
335	1082	2139
336	1084	2134
337	1087	2129
338	1089	2124
339	1091	2118
340	1093	2113
341	1095	2108
342	1098	2104
343	1100	2099
344	1102	2093
345	1104	2088
346	1107	2083
347	1109	2078
348	1112	2074
349	1114	2069
350	1117	2065
351	1119	2060
352	1121	2055
353	1123	2050
354	1126	2046
355	1128	2041
356	1130	2036
357	1132	2030
358	1134	2025
359	1136	2020
360	1138	2015
361	1140	2010
362	1143	2006
363	1146	2002
364	1149	1999
365	1151	1995
366	1154	1990
367	1156	1986
368	1158	1981
369	1160	1976
370	1163	1972
371	1166	1969
372	1168	1964
373	1170	1959
374	1173	1955
375	1175	1950
376	1177	1945
377	1179	1940
378	1181	1936
379	1183	1931
380	1186	1926
381	1188	1923
382	1192	1920
383	1195	1917
384	1199	1915
385	1202	1912
386	1206	1910
387	1210	1908
388	1213	1906
389	1218	1906
390	1222	1903
391	1225	1901
392	1229	1898
393	1233	1896
394	1236	1893
395	1239	1889
396	1241	1885
397	1243	1880
398	1244	1875
399	1246	1870
400	1248	1865
401	1250	1860
402	1252	1855
403	1254	1850
404	1256	1846
405	1259	1842
406	1261	1838
407	1264	1834
408	1266	1830
409	1269	1826
410	1271	1822
411	1273	1818
412	1276	1814
413	1279	1811
414	1282	1808
415	1285	1804
416	1287	1800
417	1289	1795
418	1291	1791
419	1293	1786
420	1295	1781
421	1297	1777
422	1299	1772
423	1301	1768
424	1304	1764
425	1306	1760
426	1309	1757
427	1311	1752
428	1314	1749
429	1316	1745
430	1319	1741
431	1320	1736
432	1322	1732
433	1325	1728
434	1328	1725
435	1330	1720
436	1332	1717
437	1334	1712
438	1336	1708
439	1338	1703
440	1341	1700
441	1343	1696
442	1345	1691
443	1346	1686
444	1348	1682
445	1351	1678
446	1353	1674
447	1355	1669
448	1357	1666
449	1359	1662
450	1361	1657
451	1363	1653
452	1365	1648
453	1367	1644
454	1369	1640
455	1371	1636
456	1373	1632
457	1375	1627
458	1377	1623
459	1379	1619
460	1381	1615
461	1383	1611
462	1385	1607
463	1388	1603
464	1390	1599
465	1391	1594
466	1393	1590
467	1395	1585
468	1396	1581
469	1398	1577
470	1400	1573
471	1403	1569
472	1405	1566
473	1407	1562
474	1409	1557
475	1411	1553
476	1413	1549
477	1414	1545
478	1418	1542
479	1420	1538
480	1422	1534
481	1424	1530
482	1426	1526
483	1428	1522
484	1430	1518
485	1432	1515
486	1434	1511
487	1436	1507
488	1438	1503
489	1440	1499
490	1442	1495
491	1444	1491
492	1446	1487
493	1448	1483
494	1450	1479
495	1452	1475
496	1453	1471
497	1455	1467
498	1456	1462
499	1458	1458
500	1460	1455
501	1463	1451
502	1465	1447
503	1467	1443
504	1469	1440
505	1470	1436
506	1472	1431
507	1474	1427
508	1476	1424
509	1478	1420
510	1480	1416
511	1482	1412
512	1484	1409
513	1485	1404
514	1487	1400
515	1489	1396
516	1491	1393
517	1494	1390
518	1496	1386
519	1498	1382
520	1500	1379
521	1502	1375
522	1504	1372
523	1506	1368
524	1509	1365
525	1511	1362
526	1513	1358
527	1515	1355
528	1517	1351
529	1519	1347
530	1521	1344
531	1524	1341
532	1526	1337
533	1528	1334
534	1530	1330
535	1532	1326
536	1534	1323
537	1536	1319
538	1539	1316
539	1541	1312
540	1543	1309
541	1545	1305
542	1547	1302
543	1548	1298
544	1550	1294
545	1552	1291
546	1554	1287
547	1556	1284
548	1558	1280
549	1560	1277
550	1562	1273
551	1564	1269
552	1566	1265
553	1568	1262
554	1570	1259
555	1572	1255
556	1574	1252
557	1576	1248
558	1577	1244
559	1579	1241
560	1581	1237
561	1584	1234
562	1586	1231
563	1588	1227
564	1590	1224
565	1592	1220
566	1593	1217
567	1595	1213
568	1599	1211
569	1601	1207
570	1603	1205
571	1605	1201
572	1607	1198
573	1610	1195
574	1622	1199
575	1624	1195
576	1626	1192
577	1629	1189
578	1631	1186
579	1634	1183
580	1636	1180
581	1638	1176
582	1640	1173
583	1642	1170
584	1645	1167
585	1647	1163
586	1649	1160
587	1651	1157
588	1653	1153
589	1654	1150
590	1656	1146
591	1659	1143
592	1661	1140
593	1663	1136
594	1664	1133
595	1666	1129
596	1668	1126
597	1670	1122
598	1672	1119
599	1675	1117
600	1677	1113
601	1679	1110
602	1681	1106
603	1682	1103
604	1684	1099
605	1686	1096
606	1689	1093
607	1691	1090
608	1693	1087
609	1695	1084
610	1697	1080
611	1699	1077
612	1701	1074
613	1704	1071
614	1706	1068
615	1708	1065
616	1710	1061
617	1713	1058
618	1714	1055
619	1717	1052
620	1719	1049
621	1721	1046
622	1723	1043
623	1725	1039
624	1727	1036
625	1729	1033
626	1730	1029
627	1734	1027
628	1736	1023
629	1738	1020
630	1740	1017
631	1742	1014
632	1744	1011
633	1746	1007
634	1748	1005
635	1750	1001
636	1752	998
637	1754	995
638	1755	992
639	1757	988
640	1759	985
641	1761	982
642	1764	979
643	1766	976
644	1768	973
645	1770	970
646	1772	966
647	1773	963
648	1775	960
649	1778	957
650	1780	954
651	1782	951
652	1785	948
653	1787	945
654	1789	942
655	1791	939
656	1794	936
657	1796	933
658	1798	930
659	1800	927
660	1802	924
661	1804	921
662	1806	918
663	1809	915
664	1812	913
665	1814	909
666	1816	906
667	1817	903
668	1819	900
669	1821	897
670	1824	894
671	1826	891
672	1828	888
673	1830	885
674	1832	882
675	1834	879
676	1836	876
677	1839	873
678	1841	870
679	1843	867
680	1844	864
681	1846	861
682	1848	858
683	1850	854
684	1852	852
685	1855	849
686	1857	846
687	1859	843
688	1862	840
689	1864	837
690	1866	834
691	1869	832
692	1871	829
693	1874	826
694	1876	823
695	1878	820
696	1880	817
697	1884	815
698	1886	812
699	1888	809
700	1890	806
701	1893	803
702	1894	800
703	1896	797
704	1899	794
705	1902	792
706	1904	789
707	1906	786
708	1908	783
709	1910	780
710	1912	777
711	1915	774
712	1917	771
713	1919	768
714	1921	765
715	1922	762
716	1924	759
717	1926	756
718	1928	753
719	1930	750
720	1932	747
721	1934	744
722	1936	741
723	1938	738
724	1939	735
725	1941	732
726	1944	730
727	1946	727
728	1948	724
729	1950	721
730	1952	718
731	1954	715
732	1955	712
733	1958	709
734	1960	706
735	1962	704
736	1964	701
737	1966	698
738	1968	695
739	1970	692
740	1973	689
741	1976	687
742	1978	684
743	1980	681
744	1983	678
745	1985	675
746	1987	673
747	1990	670
748	1993	667
749	1995	665
750	1997	662
751	1999	659
752	2001	656
753	2004	653
754	2006	651
755	2008	648
756	2010	645
757	2012	642
758	2014	639
759	2016	636
760	2019	634
761	2021	631
762	2023	628
763	2025	625
764	2028	623
765	2030	620
766	2032	617
767	2035	614
768	2037	612
769	2040	609
770	2041	606
771	2043	603
772	2045	600
773	2048	598
774	2050	595
775	2053	592
776	2055	589
777	2057	586
778	2058	584
779	2060	581
780	2062	578
781	2065	575
782	2067	572
783	2069	570
784	2071	567
785	2073	564
786	2075	561
787	2077	559
788	2079	556
789	2082	553
790	2084	550
791	2086	547
792	2088	545
793	2089	542
